chave,NOME,UF,GEOCOD_IBGE,COD_TSE,AJUSTE
ac acrelandia,ACRELÂNDIA,AC,1200013,1120,
ac assis brasil,ASSIS BRASIL,AC,1200054,1570,
ac brasileia,BRASILÉIA,AC,1200104,1058,
ac bujari,BUJARI,AC,1200138,1007,
ac capixaba,CAPIXABA,AC,1200179,1015,
ac cruzeiro do sul,CRUZEIRO DO SUL,AC,1200203,1074,
ac epitaciolandia,EPITACIOLÂNDIA,AC,1200252,1112,
ac feijo,FEIJÓ,AC,1200302,1139,
ac jordao,JORDÃO,AC,1200328,1104,
ac mancio lima,MÂNCIO LIMA,AC,1200336,1090,
ac manoel urbano,MANOEL URBANO,AC,1200344,1554,
ac marechal thaumaturgo,MARECHAL THAUMATURGO,AC,1200351,1040,
ac placido de castro,PLÁCIDO DE CASTRO,AC,1200385,1511,
ac porto acre,PORTO ACRE,AC,1200807,1023,
ac porto walter,PORTO WALTER,AC,1200393,1066,
ac rio branco,RIO BRANCO,AC,1200401,1392,
ac rodrigues alves,RODRIGUES ALVES,AC,1200427,1082,
ac santa rosa do purus,SANTA ROSA DO PURUS,AC,1200435,1031,
ac sena madureira,SENA MADUREIRA,AC,1200500,1457,
ac senador guiomard,SENADOR GUIOMARD,AC,1200450,1538,
ac tarauaca,TARAUACÁ,AC,1200609,1473,
ac xapuri,XAPURI,AC,1200708,1490,
al agua branca,ÁGUA BRANCA,AL,2700102,27014,
al anadia,ANADIA,AL,2700201,27030,
al arapiraca,ARAPIRACA,AL,2700300,27057,
al atalaia,ATALAIA,AL,2700409,27073,
al barra de santo antonio,BARRA DE SANTO ANTÔNIO,AL,2700508,27090,
al barra de sao miguel,BARRA DE SÃO MIGUEL,AL,2700607,27111,
al batalha,BATALHA,AL,2700706,27138,
al belem,BELÉM,AL,2700805,27154,
al belo monte,BELO MONTE,AL,2700904,27170,
al boca da mata,BOCA DA MATA,AL,2701001,27197,
al branquinha,BRANQUINHA,AL,2701100,27219,
al cacimbinhas,CACIMBINHAS,AL,2701209,27235,
al cajueiro,CAJUEIRO,AL,2701308,27251,
al campestre,CAMPESTRE,AL,2701357,27081,
al campo alegre,CAMPO ALEGRE,AL,2701407,27278,
al campo grande,CAMPO GRANDE,AL,2701506,27294,
al canapi,CANAPI,AL,2701605,27316,
al capela,CAPELA,AL,2701704,27332,
al carneiros,CARNEIROS,AL,2701803,27359,
al cha preta,CHÃ PRETA,AL,2701902,27375,
al coite do noia,COITÉ DO NÓIA,AL,2702009,27391,
al colonia leopoldina,COLÔNIA LEOPOLDINA,AL,2702108,27413,
al coqueiro seco,COQUEIRO SECO,AL,2702207,27430,
al coruripe,CORURIPE,AL,2702306,27456,
al craibas,CRAÍBAS,AL,2702355,28894,
al delmiro gouveia,DELMIRO GOUVEIA,AL,2702405,27472,
al dois riachos,DOIS RIACHOS,AL,2702504,27499,
al estrela de alagoas,ESTRELA DE ALAGOAS,AL,2702553,27049,
al feira grande,FEIRA GRANDE,AL,2702603,27510,
al feliz deserto,FELIZ DESERTO,AL,2702702,27537,
al flexeiras,FLEXEIRAS,AL,2702801,27553,
al girau do ponciano,GIRAU DO PONCIANO,AL,2702900,27570,
al ibateguara,IBATEGUARA,AL,2703007,27596,
al igaci,IGACI,AL,2703106,27618,
al igreja nova,IGREJA NOVA,AL,2703205,27634,
al inhapi,INHAPI,AL,2703304,27650,
al jacare dos homens,JACARÉ DOS HOMENS,AL,2703403,27677,
al jacuipe,JACUÍPE,AL,2703502,27693,
al japaratinga,JAPARATINGA,AL,2703601,27715,
al jaramataia,JARAMATAIA,AL,2703700,27731,
al jequia da praia,JEQUIÁ DA PRAIA,AL,2703759,27065,
al joaquim gomes,JOAQUIM GOMES,AL,2703809,27758,
al jundia,JUNDIÁ,AL,2703908,27774,
al junqueiro,JUNQUEIRO,AL,2704005,27790,
al lagoa da canoa,LAGOA DA CANOA,AL,2704104,27812,
al limoeiro de anadia,LIMOEIRO DE ANADIA,AL,2704203,27839,
al maceio,MACEIÓ,AL,2704302,27855,
al major isidoro,MAJOR ISIDORO,AL,2704401,27871,
al mar vermelho,MAR VERMELHO,AL,2704906,27979,
al maragogi,MARAGOGI,AL,2704500,27898,
al maravilha,MARAVILHA,AL,2704609,27910,
al marechal deodoro,MARECHAL DEODORO,AL,2704708,27936,
al maribondo,MARIBONDO,AL,2704807,27952,
al mata grande,MATA GRANDE,AL,2705002,27995,
al matriz de camaragibe,MATRIZ DE CAMARAGIBE,AL,2705101,28010,
al messias,MESSIAS,AL,2705200,28037,
al minador do negrao,MINADOR DO NEGRÃO,AL,2705309,28053,
al monteiropolis,MONTEIRÓPOLIS,AL,2705408,28070,
al murici,MURICI,AL,2705507,28096,
al novo lino,NOVO LINO,AL,2705606,28118,
al olho dagua das flores,OLHO D'ÁGUA DAS FLORES,AL,2705705,28134,
al olho dagua do casado,OLHO D'ÁGUA DO CASADO,AL,2705804,28150,
al olho dagua grande,OLHO D'ÁGUA GRANDE,AL,2705903,28177,
al olivenca,OLIVENÇA,AL,2706000,28193,
al ouro branco,OURO BRANCO,AL,2706109,28215,
al palestina,PALESTINA,AL,2706208,28231,
al palmeira dos indios,PALMEIRA DOS ÍNDIOS,AL,2706307,28258,
al pao de acucar,PÃO DE AÇÚCAR,AL,2706406,28274,
al pariconha,PARICONHA,AL,2706422,27022,
al paripueira,PARIPUEIRA,AL,2706448,27006,
al passo de camaragibe,PASSO DE CAMARAGIBE,AL,2706505,28290,
al paulo jacinto,PAULO JACINTO,AL,2706604,28312,
al penedo,PENEDO,AL,2706703,28339,
al piacabucu,PIAÇABUÇU,AL,2706802,28355,
al pilar,PILAR,AL,2706901,28371,
al pindoba,PINDOBA,AL,2707008,28398,
al piranhas,PIRANHAS,AL,2707107,28410,
al poco das trincheiras,POÇO DAS TRINCHEIRAS,AL,2707206,28436,
al porto calvo,PORTO CALVO,AL,2707305,28452,
al porto de pedras,PORTO DE PEDRAS,AL,2707404,28479,
al porto real do colegio,PORTO REAL DO COLÉGIO,AL,2707503,28495,
al quebrangulo,QUEBRANGULO,AL,2707602,28517,
al rio largo,RIO LARGO,AL,2707701,28533,
al roteiro,ROTEIRO,AL,2707800,28550,
al santa luzia do norte,SANTA LUZIA DO NORTE,AL,2707909,28576,
al santana do ipanema,SANTANA DO IPANEMA,AL,2708006,28592,
al santana do mundau,SANTANA DO MUNDAÚ,AL,2708105,28614,
al sao bras,SÃO BRÁS,AL,2708204,28630,
al sao jose da laje,SÃO JOSÉ DA LAJE,AL,2708303,28657,
